M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
M	S	R	C	V	1
0.001	0.1	1000	0.24459	0.11162	0.17143	0.20476
0.001	0.1	10000	0.24622	0.13574	0.18095	0.21905
0.001	0.1	1e+05	0.24819	0.13713	0.18095	0.21905
0.001	0.1	1e+06	0.24256	0.090248	0.17143	0.19048
0.001	1	10	0.51147	0.52229	0.63333	0.6381
0.001	1	100	0.50851	0.54841	0.66667	0.67143
0.001	1	1000	0.24378	0.10728	0.18095	0.2
0.001	1	10000	0.24733	0.14169	0.18571	0.21905
0.001	1	1e+05	0.24281	0.086441	0.16667	0.19048
0.001	1	1e+06	0.24454	0.10841	0.17619	0.20476
0.001	10	10	0.50103	0.51205	0.62857	0.63333
0.001	10	100	0.45798	0.48766	0.5381	0.56667
0.001	10	1000	0.24609	0.13178	0.17619	0.21429
0.001	10	10000	0.24562	0.12167	0.19048	0.20952
0.001	10	1e+05	0.24353	0.092992	0.17143	0.19524
0.001	10	1e+06	0.24458	0.10766	0.17143	0.20476
0.001	100	10	0.51147	0.52229	0.63333	0.6381
0.001	100	100	0.48062	0.54117	0.64762	0.64762
0.001	100	1000	0.24862	0.14786	0.18095	0.22381
0.001	100	10000	0.24427	0.11314	0.17619	0.20476
0.001	100	1e+05	0.24917	0.14459	0.18095	0.22381
0.001	100	1e+06	0.2463	0.12402	0.17143	0.21429
0.001	1000	10	0.48141	0.51433	0.58571	0.61429
0.001	1000	100	0.52582	0.56267	0.67619	0.68095
0.001	1000	1000	0.24729	0.13871	0.17619	0.21905
0.001	1000	10000	0.24682	0.12935	0.18095	0.21429
0.001	1000	1e+05	0.24338	0.093819	0.16667	0.19524
0.001	1000	1e+06	0.24543	0.11522	0.17143	0.20952
0.001	10000	10	0.5	0.51021	0.6	0.60476
0.001	10000	100	0.5417	0.57435	0.68571	0.69048
0.001	10000	1000	0.24879	0.13876	0.16667	0.21905
0.001	10000	10000	0.24525	0.12485	0.18095	0.20952
0.001	10000	1e+05	0.24494	0.10821	0.17143	0.20476
0.001	10000	1e+06	0.24543	0.11522	0.17143	0.20952
0.001	1e+05	10	0.47939	0.51215	0.57619	0.61905
0.001	1e+05	100	0.52582	0.56267	0.67619	0.68095
0.001	1e+05	1000	0.24574	0.11776	0.16667	0.20476
0.001	1e+05	10000	0.24415	0.097208	0.17143	0.19524
0.001	1e+05	1e+05	0.24566	0.1179	0.17143	0.20952
0.001	1e+05	1e+06	0.24365	0.089835	0.1619	0.19048
M	S	R	C	V	1
M	S	R	C	V	1
1e-05	1e-05	10	0.38094	0.38449	0.4619	0.46667
1e-05	1e-05	100	0.35542	0.34452	0.4619	0.46667
1e-05	0.001	10	0.34499	0.34567	0.48571	0.49048
1e-05	0.001	100	0.34047	0.35296	0.47619	0.48095
1e-05	0.1	10	0.50186	0.53407	0.61429	0.6381
1e-05	0.1	100	0.39988	0.4122	0.46667	0.48095
1e-05	10	10	0.39444	0.43568	0.49524	0.53333
1e-05	10	100	0.36917	0.40873	0.5381	0.54762
1e-05	1000	10	0.50644	0.53582	0.6619	0.6619
1e-05	1000	100	0.37719	0.41916	0.55238	0.5619
1e-05	1e+05	10	0.48364	0.50318	0.62857	0.63333
1e-05	1e+05	100	0.36435	0.3794	0.5	0.50476
0.001	1e-05	10	0.33291	0.33476	0.49048	0.49524
0.001	1e-05	100	0.24732	0.1268	0.15714	0.20952
0.001	0.001	10	0.38715	0.41662	0.50952	0.52857
0.001	0.001	100	0.24253	0.067194	0.15714	0.17619
0.001	0.1	10	0.48268	0.48474	0.61905	0.62381
0.001	0.1	100	0.47515	0.48655	0.65238	0.65238
0.001	10	10	0.44542	0.45935	0.5381	0.55238
0.001	10	100	0.52582	0.56267	0.67619	0.68095
0.001	1000	10	0.44313	0.4516	0.54286	0.55714
0.001	1000	100	0.52582	0.56267	0.67619	0.68095
0.001	1e+05	10	0.41631	0.45264	0.50952	0.5381
0.001	1e+05	100	0.5417	0.57435	0.68571	0.69048
0.1	1e-05	10	0.25207	0.17251	0.19048	0.23333
0.1	1e-05	100	0.2477	0.15187	0.17619	0.22857
0.1	0.001	10	0.25565	0.18335	0.19524	0.24286
0.1	0.001	100	0.24623	0.12934	0.17143	0.20952
0.1	0.1	10	0.4751	0.54847	0.64286	0.64762
0.1	0.1	100	0.25017	0.15434	0.19048	0.22857
0.1	10	10	0.47082	0.5149	0.59048	0.60952
0.1	10	100	0.24915	0.15374	0.19524	0.22857
0.1	1000	10	0.45143	0.54852	0.62381	0.6381
0.1	1000	100	0.25172	0.17169	0.19524	0.2381
0.1	1e+05	10	0.44869	0.5375	0.62381	0.62857
0.1	1e+05	100	0.24915	0.15374	0.19524	0.22857
10	1e-05	10	0.35217	0.33599	0.3	0.31905
10	1e-05	100	0.30591	0.31061	0.28571	0.32857
10	0.001	10	0.24028	0.10093	0.19048	0.2
10	0.001	100	0.26981	0.23337	0.27619	0.29048
10	0.1	10	0.2509	0.18374	0.24762	0.28095
10	0.1	100	0.2831	0.25238	0.29048	0.30476
10	10	10	0.23782	0.13799	0.25238	0.26667
10	10	100	0.24236	0.16641	0.24286	0.25238
10	1000	10	0.23782	0.13799	0.25238	0.26667
10	1000	100	0.32441	0.30979	0.32381	0.33333
10	1e+05	10	0.23911	0.14962	0.25238	0.27143
10	1e+05	100	0.32691	0.31669	0.31905	0.33333
